ImageId,BuildingId,PolygonWKT_Pix,PolygonWKT_Geo

#This one added manually, the rest are done by applying evil regexes to the truth file
AOI_2_Vegas_img246,1,"POLYGON ((571.34 530.8 0,496.2 536.23 0,500.02 550.67 0,508.61 550.05 0,509.28 556.12 0,500.69 556.74 0,501.94 567.96 0,530.03 567.38 0,530.76 573.9 0,502.66 574.48 0,504.2 588.32 0,532.65 587.71 0,535.39 632.46 0,506.95 633.07 0,508.28 625.1 0,534.88 624.62 0,537.69 650.0 0,580.48 650.0 0,579.59 641.94 0,590.96 641.12 0,588.83 621.93 0,581.06 622.49 0,579.4 607.57 0,577.92 594.23 0,585.69 593.67 0,584.93 586.75 0,580.22 587.09 0,578.05 567.58 0,572.85 567.95 0,568.68 530.44 0,578.6 529.73 0,578.05 524.81 0,572.94 525.17 0,571.34 530.8 0))",1

#AOI_2_Vegas_img2144,1,"POLYGON ((571.34 530.8 0,496.2 536.23 0,500.02 550.67 0,508.61 550.05 0,509.28 556.12 0,500.69 556.74 0,501.94 567.96 0,530.03 567.38 0,530.76 573.9 0,502.66 574.48 0,504.2 588.32 0,532.65 587.71 0,535.39 632.46 0,506.95 633.07 0,508.28 625.1 0,534.88 624.62 0,537.69 650.0 0,580.48 650.0 0,579.59 641.94 0,590.96 641.12 0,588.83 621.93 0,581.06 622.49 0,579.4 607.57 0,577.92 594.23 0,585.69 593.67 0,584.93 586.75 0,580.22 587.09 0,578.05 567.58 0,572.85 567.95 0,568.68 530.44 0,578.6 529.73 0,578.05 524.81 0,572.94 525.17 0,571.34 530.8 0))",1
AOI_2_Vegas_img2144,2,"POLYGON ((627.03 560.04 0,623.45 575.78 0,642.35 578.58 0,645.92 562.83 0,627.03 560.04 0))",1
AOI_2_Vegas_img2144,3,"POLYGON ((625.08 493.14 0,639.17 530.61 0,632.6 509.17 0,606.43 527.43 0,632.31 528.73 0,630.0 535.56 0,620.79 537.94 0,635.49 553.62 0,640.49 559.13 0,645.79 543.44 0,650.0 544.36 0,650.0 498.62 0,625.08 493.14 0))",1
AOI_2_Vegas_img2144,4,"POLYGON ((650.0 555.14 0,650.0 545.56 0,646.99 554.47 0,650.0 555.14 0))",1
AOI_2_Vegas_img2144,5,"POLYGON ((633.23 397.99 0,630.57 459.43 0,650.0 468.9 0,650.0 400.56 0,649.51 401.9 0,633.23 397.99 0))",1
AOI_2_Vegas_img2144,6,"POLYGON ((637.04 307.74 0,545.13 297.26 0,542.02 331.16 0,536.89 330.42 0,532.55 329.83 0,543.49 331.43 0,542.13 337.52 0,531.18 335.93 0,528.39 348.42 0,539.65 350.06 0,538.35 355.88 0,527.09 354.24 0,522.54 374.55 0,531.66 375.88 0,529.03 387.61 0,544.63 389.88 0,543.21 396.22 0,527.62 393.95 0,524.75 406.77 0,535.62 405.44 0,531.18 425.31 0,522.33 426.93 0,521.21 431.94 0,530.06 430.32 0,507.09 443.58 0,539.91 445.45 0,538.8 450.44 0,505.97 448.57 0,500.7 472.11 0,525.31 475.7 0,522.8 486.93 0,530.67 488.08 0,529.48 493.39 0,544.48 495.58 0,545.67 490.26 0,546.48 486.63 0,580.86 491.64 0,583.89 478.1 0,578.4 477.3 0,588.8 430.85 0,594.29 431.65 0,597.48 437.38 0,589.73 436.25 0,592.58 403.53 0,600.33 404.66 0,608.48 368.23 0,601.47 367.21 0,607.47 340.4 0,634.48 341.43 0,638.62 322.91 0,633.8 322.21 0,637.04 307.74 0))",1
